stname,year,very_important,somewhat_important,not_too_important,not_at_all_important,dont_know,very_somewhat_important
AK,2004,36.975341796875,29.983291625976562,15.513138771057129,15.649840354919434,1.8783860206604004,66.95863342285156
AK,2019,41,29,13,16,1,70
AL,2004,73.87895965576172,18.683198928833008,2.8219568729400635,3.5647034645080566,1.051180124282837,92.5621566772461
AL,2019,77,13,6,4,1,90
AR,2004,73.70378112792969,16.980504989624023,5.288913249969482,3.0487782955169678,0.9780239462852478,90.68428802490234
AR,2019,70,16,7,5,1,86
AZ,2004,50.80402374267578,25.579265594482422,13.147560119628906,8.943976402282715,1.5251779556274414,76.38328552246094
AZ,2019,51,24,13,11,1,75
CA,2004,48.32206726074219,27.96047592163086,11.50458812713623,10.998411178588867,1.2144590616226196,76.28254699707031
CA,2019,47,26,13,14,1,73
CO,2004,44.370059967041016,29.35495376586914,13.327314376831055,11.921324729919434,1.0263471603393555,73.72501373291016
CO,2019,47,28,12,13,1,75
CT,2004,43.23634719848633,31.464948654174805,12.063797950744629,13.119088172912598,0.11581910401582718,74.7012939453125
CT,2019,42,27,17,14,1,69
DC,2004,56.11220169067383,21.837236404418945,14.348527908325195,7.000533580780029,0.7015016078948975,77.9494400024414
DC,2019,50,21,14,14,1,71
DE,2004,54.754154205322266,29.31423568725586,9.279581069946289,6.231498718261719,0.42053061723709106,84.068389892578125
DE,2019,46,31,10,11,1,77
FL,2004,56.72935104370117,25.311010360717773,9.107471466064453,7.287110328674316,1.5650514364242554,82.04035949707031
FL,2019,53,25,11,11,1,78
GA,2004,68.1207504272461,20.53015899658203,6.237180709838867,4.397185325622559,0.7147271037101746,88.650909423828125
GA,2019,64,20,7,8,1,84
HI,2004,55.047943115234375,25.27898597717285,10.792686462402344,7.083354949951172,1.7970346212387085,80.3269271850586
HI,2019,44,32,13,10,1,76
IA,2004,50.82180404663086,32.65169143676758,8.345905303955078,7.481980323791504,0.6986148357391357,83.47349548339844
IA,2019,53,26,11,9,1,79
ID,2004,57.603572845458984,25.730844497680664,7.665464878082275,8.002202033996582,0.9979168176651001,83.33441925048828
ID,2019,51,25,12,13,1,76
IL,2004,53.33881378173828,30.522432327270508,8.19772720336914,6.938852310180664,1.0021735429763794,83.86124420166016
IL,2019,50,27,13,10,1,77
IN,2004,59.57834243774414,27.197301864624023,8.257564544677734,4.523184776306152,0.44361039996147156,86.77564239501953
IN,2019,53,25,11,10,1,78
KS,2004,61.341529846191406,25.111249923706055,8.408267974853516,4.438728332519531,0.7002272009849548,86.4527816772461
KS,2019,50,29,14,7,1,79
KY,2004,67.01911926269531,22.98331642150879,5.620661735534668,3.435188055038452,0.9417096972465515,90.00243377685547
KY,2019,63,23,7,7,1,86
LA,2004,72.551300048828125,15.99134635925293,6.904791355133057,3.5468175411224365,1.005748987197876,88.54264831542969
LA,2019,71,19,4,6,1,90
MA,2004,40.360713958740234,34.8099365234375,12.989872932434082,11.195058822631836,0.644419252872467,75.170654296875
MA,2019,33,30,16,20,1,63
MD,2004,56.51673126220703,25.858116149902344,8.7088470458984375,7.582496166229248,1.333810806274414,82.374847412109375
MD,2019,50,25,12,12,1,75
ME,2004,41.674346923828125,32.08458709716797,10.376914978027344,15.210986137390137,0.6531661748886108,73.7589340209961
ME,2019,34,29,15,21,1,63
MI,2004,53.56666564941406,29.769533157348633,8.489909172058105,7.267031669616699,0.9068614840507507,83.33619689941406
MI,2019,50,27,11,11,1,77
MN,2004,52.09567642211914,30.55112075805664,9.145291328430176,7.600645542144775,0.6072654128074646,82.64679718017578
MN,2019,46,28,13,13,1,74
MO,2004,58.97370529174805,26.69491195678711,8.288552284240723,5.544909954071045,0.4979170262813568,85.66861724853516
MO,2019,56,26,10,7,1,82
MS,2004,81.897857666015625,14.600814819335938,1.695189118385315,1.4633721113204956,0.34277185797691345,96.49867248535156
MS,2019,74,15,6,4,1,89
MT,2004,52.265380859375,29.804092407226562,7.368383407592773,9.980387687683105,0.5817527174949646,82.06947326660156
MT,2019,44,25,15,15,1,69
NC,2004,69.1902847290039,20.13530158996582,6.763852596282959,3.2238118648529053,0.6867514252662659,89.3255844116211
NC,2019,62,22,8,8,1,84
ND,2004,57.490028381347656,28.720766067504883,8.874462127685547,3.969109058380127,0.9456393122673035,86.2107925415039
ND,2019,53,23,15,9,1,76
NE,2004,61.12220764160156,25.555097579956055,7.970001697540283,5.153482437133789,0.19920887053012848,86.67730712890625
NE,2019,54,25,12,8,1,79
NH,2004,39.212493896484375,30.985170364379883,16.454200744628906,11.694992065429688,1.6531471014022827,70.197662353515625
NH,2019,33,27,23,15,1,60
NJ,2004,52.295379638671875,27.668062210083008,11.466835021972656,7.575675964355469,0.9940493702888489,79.96343994140625
NJ,2019,50,28,11,9,1,78
NM,2004,53.03434753417969,26.634952545166016,14.405438423156738,4.8042707443237305,1.120991587638855,79.66929626464844
NM,2019,59,20,6,13,1,79
NV,2004,49.881710052490234,23.445728302001953,12.551924705505371,11.092473030090332,3.0281641483306885,73.32743835449219
NV,2019,44,29,10,16,1,73
NY,2004,46.06407165527344,31.127857208251953,12.908345222473145,9.025068283081055,0.8746587038040161,77.191925048828125
NY,2019,45,27,12,15,1,72
OH,2004,54.50458526611328,29.77511215209961,8.40113353729248,6.419322490692139,0.8998479843139648,84.279693603515625
OH,2019,56,25,9,10,1,81
OK,2004,69.46404266357422,19.887426376342773,4.877695560455322,5.3377366065979,0.43309611082077026,89.351470947265625
OK,2019,64,23,4,8,1,87
OR,2004,45.85427474975586,25.455957412719727,14.508951187133789,12.479055404663086,1.7017613649368286,71.31023406982422
OR,2019,45,25,12,17,1,70
PA,2004,54.02389907836914,28.815692901611328,10.066633224487305,6.325167655944824,0.768608570098877,82.83959197998047
PA,2019,51,26,12,11,1,77
RI,2004,47.048465728759766,25.178295135498047,13.8428955078125,12.505853652954102,1.4244896173477173,72.22676086425781
RI,2019,48,25,10,18,1,73
SC,2004,70.24272918701172,19.57733726501465,6.661886692047119,2.638012409210205,0.8800291419029236,89.820068359375
SC,2019,69,16,8,6,1,85
SD,2004,54.87898635864258,34.368125915527344,7.494503021240234,3.2583861351013184,0,89.24711608886719
SD,2019,57,24,9,9,1,81
TN,2004,72.1805648803711,20.12311363220215,4.725860118865967,2.4502503871917725,0.5202105045318604,92.303680419921875
TN,2019,71,18,5,6,1,89
TX,2004,66.77705383300781,22.215166091918945,5.876598358154297,4.12846040725708,1.0027216672897339,88.992218017578125
TX,2019,63,23,7,8,1,86
UT,2004,66.24370574951172,17.738828659057617,6.891425609588623,8.668683052062988,0.457360178232193,83.98253631591797
UT,2019,58,15,14,11,2,73
VA,2004,58.66383361816406,25.175785064697266,7.339941501617432,7.649867057800293,1.170573115348816,83.83961486816406
VA,2019,60,21,10,8,1,81
VT,2004,32.33464813232422,33.52200698852539,18.950708389282227,14.721623420715332,0.47101178765296936,65.856658935546875
VT,2019,32,25,21,22,1,57
WA,2004,48.091064453125,28.774028778076172,11.089617729187012,10.876445770263672,1.1688425540924072,76.86509704589844
WA,2019,44,23,17,16,1,67
WI,2004,47.02485656738281,34.20705795288086,12.987459182739258,5.186114311218262,0.5945128202438354,81.23191833496094
WI,2019,44,31,12,12,1,75
WV,2004,60.02574157714844,28.87985610961914,6.281807899475098,4.4587602615356445,0.35383549332618713,88.90559387207031
WV,2019,64,22,7,5,2,86
WY,2004,35.79850769042969,42.0399055480957,12.89195728302002,7.874064922332764,1.3955658674240112,77.838409423828125
WY,2019,49,28,13,9,1,77
