stname,year,stud_loan_cap
AK,2004,2.7179465293884277
AK,2019,3.9568653106689453
AL,2004,1.943988561630249
AL,2019,4.831264972686768
AR,2004,1.8362005949020386
AR,2019,4.364678859710693
AZ,2004,2.473233222961426
AZ,2019,5.097231864929199
CA,2004,2.251523494720459
CA,2019,4.517235279083252
CO,2004,2.964311361312866
CO,2019,6.074882507324219
CT,2004,2.759918451309204
CT,2019,5.875765323638916
DC,2004,7.20366907119751
DC,2019,13.134031295776367
DE,2004,2.3905065059661865
DE,2019,5.800877571105957
FL,2004,2.047480821609497
FL,2019,4.861706256866455
GA,2004,2.634683132171631
GA,2019,7.002525329589844
HI,2004,1.6895443201065063
HI,2019,3.636950969696045
IA,2004,3.093034029006958
IA,2019,5.372552871704102
ID,2004,2.4555606842041016
ID,2019,5.006147384643555
IL,2004,2.7617716789245605
IL,2019,5.7975664138793945
IN,2004,2.3591508865356445
IN,2019,5.256422519683838
KS,2004,2.807945489883423
KS,2019,5.502358436584473
KY,2004,1.8963960409164429
KY,2019,4.796278476715088
LA,2004,2.5026509761810303
LA,2019,5.255854606628418
MA,2004,3.4535467624664307
MA,2019,6.196638107299805
MD,2004,2.975579023361206
MD,2019,6.572831630706787
ME,2004,2.498549222946167
ME,2019,5.383867263793945
MI,2004,2.468322992324829
MI,2019,5.70436429977417
MN,2004,3.1733126640319824
MN,2019,6.329801559448242
MO,2004,2.521676778793335
MO,2019,5.3170485496521
MS,2004,2.1205575466156006
MS,2019,5.6928558349609375
MT,2004,2.6782586574554443
MT,2019,4.522791862487793
NC,2004,1.920423984527588
NC,2019,5.118467330932617
ND,2004,3.318695068359375
ND,2019,5.453977584838867
NE,2004,2.3349106311798096
NE,2019,5.1659464836120605
NH,2004,3.418440818786621
NH,2019,5.931957721710205
NJ,2004,2.7732837200164795
NJ,2019,5.983521461486816
NM,2004,2.192115306854248
NM,2019,4.029746055603027
NV,2004,1.6996647119522095
NV,2019,4.014819145202637
NY,2004,3.2903897762298584
NY,2019,6.027757167816162
OH,2004,2.814789056777954
OH,2019,6.204562187194824
OK,2004,2.2222537994384766
OK,2019,4.4621663093566895
OR,2004,2.591610908508301
OR,2019,5.673097610473633
PA,2004,3.0254065990448
PA,2019,6.148620128631592
RI,2004,2.76176118850708
RI,2019,5.340017318725586
SC,2004,2.1612560749053955
SC,2019,5.730793476104736
SD,2004,3.1491858959198
SD,2019,5.192925930023193
TN,2004,2.013892650604248
TN,2019,4.934674263000488
TX,2004,2.209078788757324
TX,2019,4.874243259429932
UT,2004,2.0858075618743896
UT,2019,4.339688301086426
VA,2004,2.5765483379364014
VA,2019,5.722364902496338
VT,2004,3.5730104446411133
VT,2019,5.695390224456787
WA,2004,2.2749340534210205
WA,2019,4.289368152618408
WI,2004,2.422260284423828
WI,2019,4.890201091766357
WV,2004,2.136507749557495
WV,2019,4.162453651428223
WY,2004,2.013709545135498
WY,2019,3.571859359741211
